date,postal_code,district,no2,pm10,aqi
2025-05-01,10785,Friedrichshain-Kreuzberg,19.1,22.3,23
2025-05-01,10785,Friedrichshain-Kreuzberg,23.3,17.7,23
2025-05-01,10785,Friedrichshain-Kreuzberg,23.5,23.7,27
2025-05-01,10787,Charlottenburg-Wilmersdorf,30.4,23.1,31
2025-05-01,10787,Charlottenburg-Wilmersdorf,28.8,19.2,28
2025-05-01,10787,Charlottenburg-Wilmersdorf,33.1,19.7,31
2025-05-01,10789,Charlottenburg-Wilmersdorf,26.0,17.7,25
2025-05-01,10789,Charlottenburg-Wilmersdorf,20.0,17.9,21
2025-05-01,10823,Tempelhof-Schöneberg,30.1,24.8,31
2025-05-01,10825,Charlottenburg-Wilmersdorf,30.9,23.9,31
2025-05-01,10825,Charlottenburg-Wilmersdorf,27.5,16.9,26
2025-05-01,10827,Tempelhof-Schöneberg,31.1,17.8,28
2025-05-01,10829,Tempelhof-Schöneberg,26.4,16.1,25
2025-05-01,10961,Friedrichshain-Kreuzberg,26.9,24.9,29
2025-05-01,10963,Friedrichshain-Kreuzberg,25.3,24.1,28
2025-05-01,10963,Friedrichshain-Kreuzberg,18.4,20.5,22
2025-05-01,10965,Friedrichshain-Kreuzberg,19.8,21.9,23
2025-05-01,10965,Friedrichshain-Kreuzberg,18.5,22.5,23
2025-05-01,10965,Friedrichshain-Kreuzberg,28.8,17.0,27
2025-05-01,10967,Friedrichshain-Kreuzberg,23.3,24.3,27
2025-05-01,10967,Friedrichshain-Kreuzberg,26.6,20.3,27
2025-05-01,10969,Friedrichshain-Kreuzberg,33.4,15.9,29
2025-05-01,10969,Friedrichshain-Kreuzberg,22.2,19.0,23
2025-05-01,10997,Friedrichshain-Kreuzberg,25.0,21.0,26
2025-05-01,10997,Friedrichshain-Kreuzberg,30.8,18.5,29
2025-05-01,10997,Friedrichshain-Kreuzberg,21.9,22.0,25
2025-05-01,10999,Friedrichshain-Kreuzberg,19.3,23.8,24
2025-05-01,10999,Friedrichshain-Kreuzberg,22.9,22.7,26
2025-05-01,10999,Friedrichshain-Kreuzberg,20.7,21.4,24
2025-05-01,10999,Friedrichshain-Kreuzberg,33.8,20.1,31
2025-05-01,12043,Neukölln,31.7,17.5,29
2025-05-01,12045,Neukölln,28.8,19.5,28
2025-05-01,12047,Friedrichshain-Kreuzberg,32.8,17.9,29
2025-05-01,12047,Friedrichshain-Kreuzberg,31.7,24.3,32
2025-05-01,12049,Neukölln,21.2,24.1,25
2025-05-01,12049,Neukölln,33.2,16.6,29
2025-05-01,12051,Neukölln,27.2,23.2,29
2025-05-01,12051,Neukölln,31.7,22.0,31
2025-05-01,12053,Neukölln,33.2,24.8,33
2025-05-01,12055,Neukölln,23.4,19.6,24
2025-05-01,12057,Neukölln,19.9,22.2,24
2025-05-01,12057,Neukölln,21.9,20.2,24
2025-05-01,12059,Friedrichshain-Kreuzberg,25.3,15.7,24
2025-05-01,12059,Friedrichshain-Kreuzberg,31.9,15.5,28
2025-05-01,12059,Friedrichshain-Kreuzberg,32.6,16.2,29
2025-05-01,12099,Neukölln,18.1,18.0,20
2025-05-01,12099,Neukölln,26.7,17.6,25
2025-05-01,12101,Friedrichshain-Kreuzberg,25.1,22.3,27
2025-05-01,12101,Friedrichshain-Kreuzberg,21.8,22.2,25
2025-05-01,12103,Tempelhof-Schöneberg,20.0,24.7,25
2025-05-01,12105,Steglitz-Zehlendorf,23.7,18.1,24
2025-05-01,12105,Steglitz-Zehlendorf,34.0,24.4,33
2025-05-01,12107,Neukölln,23.5,21.1,25
2025-05-01,12107,Neukölln,26.8,20.0,27
2025-05-01,12107,Neukölln,30.0,21.7,30
2025-05-01,12109,Neukölln,24.2,22.0,26
2025-05-01,12109,Neukölln,34.5,16.7,30
2025-05-01,12157,Steglitz-Zehlendorf,34.4,22.5,33
2025-05-01,12157,Steglitz-Zehlendorf,22.3,22.3,25
2025-05-01,12159,Charlottenburg-Wilmersdorf,26.5,25.0,29
2025-05-01,12159,Charlottenburg-Wilmersdorf,23.1,24.1,27
2025-05-01,12161,Charlottenburg-Wilmersdorf,22.8,21.8,25
2025-05-01,12161,Charlottenburg-Wilmersdorf,18.6,22.1,23
2025-05-01,12161,Charlottenburg-Wilmersdorf,28.4,24.5,30
2025-05-01,12163,Steglitz-Zehlendorf,26.5,24.7,29
2025-05-01,12163,Steglitz-Zehlendorf,18.9,23.3,23
2025-05-01,12165,Steglitz-Zehlendorf,22.7,22.7,26
2025-05-01,12167,Steglitz-Zehlendorf,33.4,16.1,29
2025-05-01,12169,Steglitz-Zehlendorf,22.1,23.3,25
2025-05-01,12169,Steglitz-Zehlendorf,20.5,17.5,22
2025-05-01,12203,Steglitz-Zehlendorf,26.3,20.6,27
2025-05-01,12205,Steglitz-Zehlendorf,34.8,19.1,31
2025-05-01,12207,Steglitz-Zehlendorf,22.1,18.5,23
2025-05-01,12209,Steglitz-Zehlendorf,29.4,18.1,27
2025-05-01,12209,Steglitz-Zehlendorf,30.9,23.6,31
2025-05-01,12247,Steglitz-Zehlendorf,22.0,22.7,25
2025-05-01,12247,Steglitz-Zehlendorf,30.4,20.2,29
2025-05-01,12249,Steglitz-Zehlendorf,24.3,21.6,26
2025-05-01,12249,Steglitz-Zehlendorf,28.7,24.8,30
2025-05-01,12277,Steglitz-Zehlendorf,28.8,19.0,27
2025-05-01,12277,Steglitz-Zehlendorf,27.1,20.5,27
2025-05-01,12279,Steglitz-Zehlendorf,19.5,20.3,22
2025-05-01,12279,Steglitz-Zehlendorf,32.2,24.4,32
2025-05-01,12305,Neukölln,23.5,18.5,24
2025-05-01,12305,Neukölln,21.2,24.9,26
2025-05-01,12307,Tempelhof-Schöneberg,18.7,18.0,21
2025-05-01,12309,Tempelhof-Schöneberg,28.0,16.1,26
2025-05-01,12347,Neukölln,29.5,16.9,27
2025-05-01,12347,Neukölln,18.3,19.3,21
2025-05-01,12349,Neukölln,26.7,21.5,27
2025-05-01,12349,Neukölln,21.9,20.2,24
2025-05-01,12351,Neukölln,29.0,18.8,27
2025-05-01,12353,Neukölln,21.0,20.6,23
2025-05-01,12355,Neukölln,29.7,23.4,30
2025-05-01,12355,Neukölln,24.6,23.4,27
2025-05-01,12357,Neukölln,33.9,22.3,32
2025-05-01,12357,Neukölln,20.3,24.5,25
2025-05-01,12359,Neukölln,23.8,20.9,25
2025-05-01,12359,Neukölln,19.9,15.1,20
2025-05-01,12435,Friedrichshain-Kreuzberg,33.7,17.9,30
2025-05-01,12435,Friedrichshain-Kreuzberg,32.9,18.3,30
2025-05-01,12435,Friedrichshain-Kreuzberg,22.4,20.5,24
2025-05-01,12437,Neukölln,29.2,24.0,30
2025-05-01,12437,Neukölln,31.9,23.4,32
2025-05-01,12459,Lichtenberg,27.4,17.3,26
2025-05-01,12459,Lichtenberg,27.0,20.2,27
2025-05-01,12459,Lichtenberg,22.1,21.6,25
2025-05-01,12487,Neukölln,19.6,24.9,25
2025-05-01,12487,Neukölln,33.3,15.3,28
2025-05-01,12489,Neukölln,33.3,19.6,31
2025-05-01,12489,Neukölln,28.8,24.9,30
2025-05-01,12524,Neukölln,23.8,24.8,27
2025-05-01,12524,Neukölln,23.9,18.3,24
2025-05-01,12526,Treptow-Köpenick,30.3,15.0,26
2025-05-01,12527,Treptow-Köpenick,33.3,20.9,31
2025-05-01,12555,Marzahn-Hellersdorf,33.1,23.7,33
2025-05-01,12555,Marzahn-Hellersdorf,31.3,18.2,29
2025-05-01,12557,Treptow-Köpenick,28.9,24.3,30
2025-05-01,12559,Treptow-Köpenick,19.4,18.3,21
2025-05-01,12587,Treptow-Köpenick,20.7,21.1,24
2025-05-01,12589,Treptow-Köpenick,33.3,22.2,32
2025-05-01,12619,Marzahn-Hellersdorf,28.3,18.5,27
2025-05-01,12621,Marzahn-Hellersdorf,18.2,18.5,21
2025-05-01,12621,Marzahn-Hellersdorf,19.7,19.7,22
2025-05-01,12623,Marzahn-Hellersdorf,29.3,23.4,30
2025-05-01,12623,Marzahn-Hellersdorf,18.1,16.0,19
2025-05-01,12627,Marzahn-Hellersdorf,20.7,21.3,24
2025-05-01,12629,Marzahn-Hellersdorf,27.3,21.8,28
2025-05-01,12679,Marzahn-Hellersdorf,29.8,20.6,29
2025-05-01,12681,Lichtenberg,29.1,24.4,30
2025-05-01,12681,Lichtenberg,21.8,21.0,24
2025-05-01,12683,Lichtenberg,30.1,21.3,29
2025-05-01,12683,Lichtenberg,22.0,21.0,24
2025-05-01,12683,Lichtenberg,23.5,22.2,26
2025-05-01,12685,Marzahn-Hellersdorf,30.7,16.4,27
2025-05-01,12687,Marzahn-Hellersdorf,29.0,23.9,30
2025-05-01,12689,Lichtenberg,32.4,15.4,28
2025-05-01,12689,Lichtenberg,29.2,21.4,29
2025-05-01,13051,Lichtenberg,27.7,21.2,28
2025-05-01,13051,Lichtenberg,19.6,17.1,21
2025-05-01,13053,Lichtenberg,24.3,15.4,23
2025-05-01,13053,Lichtenberg,22.5,16.4,22
2025-05-01,13053,Lichtenberg,22.1,17.7,23
2025-05-01,13055,Lichtenberg,34.5,23.8,33
2025-05-01,13055,Lichtenberg,24.7,23.6,27
2025-05-01,13057,Lichtenberg,33.2,15.6,29
2025-05-01,13057,Lichtenberg,28.7,17.9,27
2025-05-01,13059,Lichtenberg,31.5,23.9,32
2025-05-01,13086,Pankow,26.5,17.4,25
2025-05-01,13088,Lichtenberg,27.8,25.0,30
2025-05-01,13088,Lichtenberg,26.4,17.6,25
2025-05-01,13089,Pankow,21.3,22.4,25
2025-05-01,13125,Pankow,30.3,19.2,29
2025-05-01,13127,Pankow,22.8,16.4,22
2025-05-01,13129,Pankow,18.4,17.6,20
2025-05-01,13156,Pankow,29.0,21.8,29
2025-05-01,13156,Pankow,21.0,18.4,22
2025-05-01,13158,Pankow,34.0,21.0,32
2025-05-01,13158,Pankow,34.2,17.1,30
2025-05-01,13159,Pankow,33.6,19.5,31
2025-05-01,13159,Pankow,24.3,20.1,25
2025-05-01,13187,Mitte,18.3,19.1,21
2025-05-01,13187,Mitte,33.8,17.0,30
2025-05-01,13187,Mitte,25.3,19.6,26
2025-05-01,13189,Pankow,34.4,21.9,32
2025-05-01,13347,Mitte,34.4,24.6,34
2025-05-01,13349,Mitte,32.5,22.9,32
2025-05-01,13349,Mitte,23.0,16.6,23
2025-05-01,13351,Charlottenburg-Wilmersdorf,24.5,17.7,24
2025-05-01,13351,Charlottenburg-Wilmersdorf,32.5,15.8,28
2025-05-01,13353,Charlottenburg-Wilmersdorf,23.4,16.4,23
2025-05-01,13353,Charlottenburg-Wilmersdorf,20.9,17.5,22
2025-05-01,13355,Mitte,27.5,17.0,26
2025-05-01,13357,Mitte,33.9,17.1,30
2025-05-01,13357,Mitte,29.8,17.3,27
2025-05-01,13359,Mitte,27.7,18.0,26
2025-05-01,13359,Mitte,19.7,16.3,20
2025-05-01,13359,Mitte,28.5,17.8,27
2025-05-01,13403,Reinickendorf,34.8,21.9,33
2025-05-01,13405,Charlottenburg-Wilmersdorf,20.4,17.4,21
2025-05-01,13405,Charlottenburg-Wilmersdorf,26.8,16.7,25
2025-05-01,13405,Charlottenburg-Wilmersdorf,32.9,15.7,28
2025-05-01,13407,Mitte,30.6,20.0,29
2025-05-01,13407,Mitte,29.8,23.4,30
2025-05-01,13407,Mitte,29.9,15.6,27
2025-05-01,13409,Mitte,24.1,20.4,25
2025-05-01,13409,Mitte,23.0,21.5,25
2025-05-01,13409,Mitte,31.8,20.9,30
2025-05-01,13435,Reinickendorf,31.8,23.8,32
2025-05-01,13437,Pankow,32.7,23.7,32
2025-05-01,13437,Pankow,33.5,15.6,29
2025-05-01,13439,Pankow,26.7,18.6,26
2025-05-01,13439,Pankow,26.5,21.7,27
2025-05-01,13465,Reinickendorf,31.6,24.5,32
2025-05-01,13467,Reinickendorf,29.0,23.0,30
2025-05-01,13469,Pankow,29.9,16.8,27
2025-05-01,13469,Pankow,31.5,17.8,29
2025-05-01,13503,Reinickendorf,33.1,22.6,32
2025-05-01,13505,Reinickendorf,23.7,19.7,25
2025-05-01,13505,Reinickendorf,24.4,20.5,25
2025-05-01,13507,Reinickendorf,19.6,21.1,23
2025-05-01,13509,Reinickendorf,27.8,16.0,25
2025-05-01,13581,Spandau,18.6,23.6,23
2025-05-01,13583,Spandau,25.9,23.6,28
2025-05-01,13585,Spandau,27.2,19.7,27
2025-05-01,13587,Reinickendorf,22.9,21.3,25
2025-05-01,13587,Reinickendorf,28.0,21.6,28
2025-05-01,13589,Spandau,18.5,16.9,20
2025-05-01,13591,Spandau,18.6,16.1,20
2025-05-01,13593,Spandau,32.0,15.2,28
2025-05-01,13595,Charlottenburg-Wilmersdorf,24.1,24.1,27
2025-05-01,13595,Charlottenburg-Wilmersdorf,20.2,18.5,22
2025-05-01,13597,Charlottenburg-Wilmersdorf,26.9,15.9,25
2025-05-01,13597,Charlottenburg-Wilmersdorf,31.1,19.7,29
2025-05-01,13599,Charlottenburg-Wilmersdorf,21.7,15.8,21
2025-05-01,13599,Charlottenburg-Wilmersdorf,28.6,15.9,26
2025-05-01,13599,Charlottenburg-Wilmersdorf,19.5,19.9,22
2025-05-01,13627,Charlottenburg-Wilmersdorf,18.9,20.1,22
2025-05-01,13627,Charlottenburg-Wilmersdorf,27.0,20.8,27
2025-05-01,13627,Charlottenburg-Wilmersdorf,27.2,21.6,28
2025-05-01,13629,Charlottenburg-Wilmersdorf,28.8,21.7,29
2025-05-01,13629,Charlottenburg-Wilmersdorf,30.3,19.3,29
2025-05-01,13629,Charlottenburg-Wilmersdorf,34.6,21.4,32
2025-05-01,14050,Charlottenburg-Wilmersdorf,26.8,18.0,26
2025-05-01,14050,Charlottenburg-Wilmersdorf,23.5,19.4,24
2025-05-01,14052,Charlottenburg-Wilmersdorf,31.5,18.9,29
2025-05-01,14052,Charlottenburg-Wilmersdorf,22.6,18.3,23
2025-05-01,14053,Charlottenburg-Wilmersdorf,25.5,17.4,25
2025-05-01,14193,Charlottenburg-Wilmersdorf,19.3,15.8,20
2025-05-01,14193,Charlottenburg-Wilmersdorf,18.4,20.1,22
2025-05-01,14193,Charlottenburg-Wilmersdorf,34.4,20.4,32
2025-05-01,14057,Charlottenburg-Wilmersdorf,32.2,18.4,29
2025-05-01,14059,Charlottenburg-Wilmersdorf,29.8,24.8,31
2025-05-01,14089,Charlottenburg-Wilmersdorf,25.0,20.6,26
2025-05-01,14089,Charlottenburg-Wilmersdorf,20.9,23.9,25
2025-05-01,14089,Charlottenburg-Wilmersdorf,20.7,20.7,23
2025-05-01,14109,Spandau,22.3,16.9,22
2025-05-01,14109,Spandau,27.3,24.7,29
2025-05-01,14129,Charlottenburg-Wilmersdorf,30.1,23.9,31
2025-05-01,14129,Charlottenburg-Wilmersdorf,29.2,19.7,28
2025-05-01,14129,Charlottenburg-Wilmersdorf,22.8,17.4,23
2025-05-01,14163,Steglitz-Zehlendorf,34.2,17.2,30
2025-05-01,14165,Steglitz-Zehlendorf,30.5,23.1,31
2025-05-01,14167,Steglitz-Zehlendorf,27.4,15.7,25
2025-05-01,14169,Charlottenburg-Wilmersdorf,28.4,21.4,28
2025-05-01,14169,Charlottenburg-Wilmersdorf,25.1,21.4,26
2025-05-01,14193,Charlottenburg-Wilmersdorf,22.2,16.8,22
2025-05-01,14193,Charlottenburg-Wilmersdorf,24.1,22.0,26
2025-05-01,14193,Charlottenburg-Wilmersdorf,30.9,22.1,30
2025-05-01,14195,Charlottenburg-Wilmersdorf,18.2,18.5,21
2025-05-01,14195,Charlottenburg-Wilmersdorf,20.0,19.8,22
2025-05-01,14197,Charlottenburg-Wilmersdorf,18.8,23.3,23
2025-05-01,14197,Charlottenburg-Wilmersdorf,18.7,20.2,22
2025-05-01,14197,Charlottenburg-Wilmersdorf,32.5,21.2,31
2025-05-01,14199,Charlottenburg-Wilmersdorf,30.0,19.1,28
2025-05-01,14199,Charlottenburg-Wilmersdorf,26.1,16.5,25
2025-05-01,12439,Treptow-Köpenick,19.7,25.0,25
2025-05-01,14055,Charlottenburg-Wilmersdorf,26.4,20.3,27
2025-05-01,14055,Charlottenburg-Wilmersdorf,26.0,18.4,25
2025-05-01,15537,Treptow-Köpenick,20.9,22.1,24
2025-05-01,15566,Treptow-Köpenick,25.4,21.2,26
2025-05-01,15569,Treptow-Köpenick,24.8,17.3,24
2025-05-02,10115,Mitte,28.5,23.8,30
2025-05-02,10117,Friedrichshain-Kreuzberg,28.8,15.7,26
2025-05-02,10117,Friedrichshain-Kreuzberg,18.8,21.1,22
2025-05-02,10119,Mitte,24.4,19.8,25
2025-05-02,10119,Mitte,28.6,18.2,27
2025-05-02,10178,Friedrichshain-Kreuzberg,26.6,23.3,28
2025-05-02,10178,Friedrichshain-Kreuzberg,32.6,21.6,31
2025-05-02,10178,Friedrichshain-Kreuzberg,29.2,22.6,30
2025-05-02,10179,Friedrichshain-Kreuzberg,20.8,19.1,23
2025-05-02,10179,Friedrichshain-Kreuzberg,19.2,24.4,24
2025-05-02,10243,Friedrichshain-Kreuzberg,28.9,18.4,27
2025-05-02,10243,Friedrichshain-Kreuzberg,18.5,20.3,22
2025-05-02,10245,Friedrichshain-Kreuzberg,28.0,24.3,30
2025-05-02,10245,Friedrichshain-Kreuzberg,34.0,15.8,29
2025-05-02,10245,Friedrichshain-Kreuzberg,27.8,16.1,25
2025-05-02,10247,Friedrichshain-Kreuzberg,24.6,24.9,28
2025-05-02,10247,Friedrichshain-Kreuzberg,28.9,24.7,30
2025-05-02,10247,Friedrichshain-Kreuzberg,25.8,22.7,27
2025-05-02,10249,Friedrichshain-Kreuzberg,27.3,19.8,27
2025-05-02,10249,Friedrichshain-Kreuzberg,34.0,20.1,31
2025-05-02,10249,Friedrichshain-Kreuzberg,24.6,17.6,24
2025-05-02,10315,Lichtenberg,34.3,19.3,31
2025-05-02,10315,Lichtenberg,33.4,19.3,31
2025-05-02,10317,Friedrichshain-Kreuzberg,21.3,15.4,21
2025-05-02,10317,Friedrichshain-Kreuzberg,19.2,19.5,22
2025-05-02,10317,Friedrichshain-Kreuzberg,19.7,19.8,22
2025-05-02,10318,Lichtenberg,18.3,21.7,22
2025-05-02,10318,Lichtenberg,19.6,20.2,22
2025-05-02,10318,Lichtenberg,29.6,23.6,30
2025-05-02,10319,Lichtenberg,19.2,18.7,21
2025-05-02,10319,Lichtenberg,23.4,19.1,24
2025-05-02,10365,Friedrichshain-Kreuzberg,32.4,20.7,31
2025-05-02,10365,Friedrichshain-Kreuzberg,18.4,17.0,20
2025-05-02,10367,Friedrichshain-Kreuzberg,31.8,18.9,29
2025-05-02,10367,Friedrichshain-Kreuzberg,22.8,21.9,25
2025-05-02,10367,Friedrichshain-Kreuzberg,20.0,19.1,22
2025-05-02,10369,Lichtenberg,29.8,24.1,31
2025-05-02,10369,Lichtenberg,28.7,21.2,29
2025-05-02,10405,Friedrichshain-Kreuzberg,32.9,16.5,29
2025-05-02,10405,Friedrichshain-Kreuzberg,30.5,19.9,29
2025-05-02,10405,Friedrichshain-Kreuzberg,31.7,22.6,31
2025-05-02,10407,Friedrichshain-Kreuzberg,22.8,21.4,25
2025-05-02,10407,Friedrichshain-Kreuzberg,21.0,23.9,25
2025-05-02,10407,Friedrichshain-Kreuzberg,30.8,22.5,30
2025-05-02,10409,Pankow,31.7,15.6,28
2025-05-02,10435,Mitte,34.8,16.1,30
2025-05-02,10435,Mitte,25.0,21.5,26
2025-05-02,10437,Mitte,24.3,17.4,24
2025-05-02,10437,Mitte,31.2,20.9,30
2025-05-02,10439,Mitte,23.8,22.9,26
2025-05-02,10439,Mitte,33.8,20.8,32
2025-05-02,10551,Mitte,32.6,19.2,30
2025-05-02,10553,Charlottenburg-Wilmersdorf,25.3,21.5,27
2025-05-02,10553,Charlottenburg-Wilmersdorf,30.8,16.4,27
2025-05-02,10555,Charlottenburg-Wilmersdorf,30.8,22.2,30
2025-05-02,10555,Charlottenburg-Wilmersdorf,19.8,22.0,23
2025-05-02,10557,Mitte,33.3,20.1,31
2025-05-02,10559,Mitte,26.6,17.8,26
2025-05-02,10585,Charlottenburg-Wilmersdorf,32.0,23.0,32
2025-05-02,10587,Charlottenburg-Wilmersdorf,23.4,20.1,25
2025-05-02,10587,Charlottenburg-Wilmersdorf,33.2,15.6,29
2025-05-02,10589,Charlottenburg-Wilmersdorf,24.6,24.2,27
2025-05-02,10589,Charlottenburg-Wilmersdorf,18.2,22.7,23
2025-05-02,10623,Charlottenburg-Wilmersdorf,33.4,20.8,31
2025-05-02,10623,Charlottenburg-Wilmersdorf,19.6,19.4,22
2025-05-02,10625,Charlottenburg-Wilmersdorf,23.4,24.6,27
2025-05-02,10627,Charlottenburg-Wilmersdorf,34.2,22.8,33
2025-05-02,10629,Charlottenburg-Wilmersdorf,34.2,20.3,32
2025-05-02,10707,Charlottenburg-Wilmersdorf,27.7,21.5,28
2025-05-02,10709,Charlottenburg-Wilmersdorf,28.7,17.8,27
2025-05-02,10711,Charlottenburg-Wilmersdorf,25.6,17.0,24
2025-05-02,10713,Charlottenburg-Wilmersdorf,23.0,17.7,23
2025-05-02,10715,Charlottenburg-Wilmersdorf,23.6,17.9,24
2025-05-02,10715,Charlottenburg-Wilmersdorf,29.4,22.4,30
2025-05-02,10717,Charlottenburg-Wilmersdorf,30.8,16.4,27
2025-05-02,10719,Charlottenburg-Wilmersdorf,31.5,22.8,31
2025-05-02,10777,Charlottenburg-Wilmersdorf,31.4,20.2,30
2025-05-02,10777,Charlottenburg-Wilmersdorf,19.6,18.8,22
2025-05-02,10779,Charlottenburg-Wilmersdorf,26.4,18.0,26
2025-05-02,10779,Charlottenburg-Wilmersdorf,19.0,20.1,22
2025-05-02,10781,Tempelhof-Schöneberg,27.3,18.2,26
2025-05-02,10783,Friedrichshain-Kreuzberg,25.5,19.3,26
2025-05-02,10783,Friedrichshain-Kreuzberg,33.1,22.4,32
2025-05-02,10785,Friedrichshain-Kreuzberg,24.0,21.3,26
2025-05-02,10785,Friedrichshain-Kreuzberg,20.0,22.5,24
2025-05-02,10785,Friedrichshain-Kreuzberg,20.4,22.1,24
2025-05-02,10787,Charlottenburg-Wilmersdorf,30.9,23.2,31
